country,StudentSkills,StudyYears
Australia,512,18.8
Austria,500,16.9
Belgium,509,18.8
Canada,522,17
Chile,436,16.4
Czech Republic,500,17.9
Denmark,498,19.2
Estonia,526,17.5
Finland,529,19.7
France,500,16.5
Germany,515,18.1
Greece,466,18.6
Hungary,487,17.5
Iceland,484,19.5
Ireland,516,17.5
Israel,474,15.7
Italy,490,17
Japan,540,16.2
Korea,542,17.5
Luxembourg,490,14.1
Mexico,417,15.2
Netherlands,519,18.6
New Zealand,509,18.1
Norway,496,17.9
Poland,521,18.3
Portugal,488,17.8
Slovak Republic,472,16.4
Slovenia,499,18.3
Spain,490,17.6
Sweden,482,19.2
Switzerland,518,17.1
Turkey,462,16
United Kingdom,502,16.6
United States,492,17.1
OECD - Total,497,17.7
Brazil,402,16.3
Russian Federation,481,15.8
